Title,Price_pesos,Barangay,Municipality,Seller,Number_Bedrooms,Floor_sqm,Land_sqm,Latitude,Longitude
3 Bedroom Townhouse Unit for Sale at Amaia Series Nuvali in Laguna (Inner),5200000,Santo Domingo,Santa Rosa,Property Pro Philippines,3,65,110,121.0661417,14.2444071
3 Bedroom Townhouse Unit for Sale at Amaia Series Nuvali in Laguna (End),7000000,Santo Domingo,Santa Rosa,Property Pro Philippines,3,65,149,121.0661417,14.2444071
2 Bedroom House and Lot (Mid) at Phirst Park Homes Calamba,1980000,Palo-Alto,Calamba,Property Pro Philippines,2,40,44,121.113605,14.191945
"For Sale: Well-Maintained House and Lot at San Pablo, Laguna with wide frontage",,San Gabriel,San Pablo,Cito Roman,3,250,555,121.3098462,14.0542583
2 Bedroom House and Lot Unit for sale at Camella Dos Rios Trails (Bella Model),5815000,Pittland,Cabuyao,Property Pro Philippines,2,53,88,121.0721529,14.2220299
4 Bedroom House and Lot Unit for sale at Camella Dos Rios Trails (Dana Model),7289000,Pittland,Cabuyao,Property Pro Philippines,4,85,88,121.0721529,14.2220299
3 Bedroom House and Lot Unit for sale at Camella Dos Rios Trails (Cara Model),6454000,Pittland,Cabuyao,Property Pro Philippines,3,66,88,121.0721529,14.2220299
"RFO House and Lot for sale in San Pedro, Laguna near SLEX-MCX, Munt., Alabang",3500000,San Antonio,San Pedro,Mitch Monsalve,3,80,100,121.0433415,14.3669314
AVIDA SOUTHDALE SETTINGS NUVALI -Preselling House and Lot,,Laguerta,Calamba,Camelle Bayog,3,67,130,121.08798936577,14.176924703172
San Lorenzo Subdivision Near Enchanted Kingdom House and Lot For Sale,5600000,Malitlit,Santa Rosa,Karen Vargas,,,,121.099378,14.2656453
"HOUSE AND LOT FOR SALE AT Tierra El Sol, Cabuyao  Exclusive Subdivision",6900000,Bigaa,Cabuyao,Karen Vargas,4,,,121.128445,14.28615
Woodhills Settings Nuvali,8500000,Canlubang,Calamba,Mary Jane Santos,3,68,185,121.72677,14.193548
Nuvali House and Lot - Avida Southfield Settings Nuvali,12000000,Canlubang,Calamba,JP Pabalan,3,80,158,121.72677,14.193548
